Institution Short Name/Consortium,Institution Full Name,Address Line 1,Address Line 2,Country,City,Postal Code,Link,Department,IR,Consortium members,Region,Show members
METU,Middle East Technical Univ.(METU),-,-,Turkey,Ankara,6800,http://www.physics.metu.edu.tr/,Dept. of Physics,Mehmet Tevfik  Zeyrek,-,Asia,METU
Gyeongsang,Gyeongsang National Univ.,501 Jinju-Daero,-,South Korea,Jinju,52828,http://eng.gnu.ac.kr/main/,Department of Physics,Sookyung   Choi,-,Asia,Gyeongsang
Kennesaw,Kennesaw State Univ,1000 Chastain Road,-,U.S.A.,Kennesaw,GA 30144,https://csm.kennesaw.edu/physics/,Dept. of Biology & Physics,Ratnappuli    Kulasiri,-,America,Kennesaw
Pittsburgh,Univ. of Pittsburgh,"Allen Hall, 3941 O'Hara Street, PA",-,U.S.A.,Pittsburgh,15260,https://www.physicsandastronomy.pitt.edu/,Dept. of Astronomy and Physics,Vladimir   Savinov,-,America,Pittsburgh
IHEP-Russia,Institute for High Energy Physic,Pobeda str. 1,-,Russia,Protvino,142281,http://www.ihep.su/,-,Anatoly   Sokolov,-,Russia,IHEP-Russia
Heidelberg,Heidelberg University,Im Neuenheimer Feld 368,-,Germany,Heidelberg,69120,https://sus.ziti.uni-heidelberg.de,Institute for Computer Engineering,Peter   Fischer,-,Europe,Heidelberg
Shandong,Shandong University,-,-,China,Shandong,-,http://www.en.sdu.edu.cn,Research Center for Particle Physics and Technology,Zhiqing   Liu,-,Asia,Shandong
Yonsei,Yonsei Univ.,50 Yonsei-ro,Seodaemungu,South Korea,Seoul,3722,http://www.yonsei.ac.kr/eng/,Department of Physics,Youngjoon   Kwon,-,Asia,Yonsei
McGill,McGill Univ.,"3600 rue University Montreal, QC",-,Canada,Montreal,H3A 2T8,http://www.physics.mcgill.ca/,-,Steven H  Robertson,-,America,McGill
Hawaii,Univ. of Hawaii,2505 Correa Road,-,U.S.A.,Honolulu,HI 96822,http://www.hawaii.edu/,Department of Physics and Astronomy,Gary    Varner,-,America,Hawaii
Beihang,Beihang Univ.(BUAA),Xueyuan Road,Haidian District 37,China,Beijing,100191,http://ev.buaa.edu.cn/,School of physics and nuclear energy engineering,Chengping    Shen,-,Asia,Beihang
CMU,Carnegie Mellon Univ.(CMU),5000 Forbes Avenue,-,U.S.A.,Pittsburgh,PA 15213,http://www.cmu.edu/physics/,Department of Physics,Roy   Briere,-,America,CMU
Kyungpook,Kyungpook National Univ.(KNU),1370 Sankyuk Dong,Buk Gu,South Korea,Daegu,-,http://belle.knu.ac.kr/,Department of Physics,Hwanbae   Park,-,Asia,Kyungpook
Louisville,University of Louisville,Natural Science Building,University of Louisville,U.S.A.,Louisville,40292,http://www.physics.louisville.edu,Physics and Astronomy,Swagato   Banerjee,-,America,Louisville
Duke,Duke University,"139 Physics, Duke Box 90305, Durham",-,U.S.A.,Durham,NC 27708-0305,http://www.phy.duke.edu/,Department of Physics,Anselm Georg  Vossen,-,America,Duke
Karlsruhe,Karlsruhe Institute of Technology(KIT),Wolfgang-Gaede-Str. 1,-,Germany,Karlsruhe,76131,https://www.etp.kit.edu/,Institut fuer Experimentelle Teilchenphysik,Pablo   Goldenzweig,-,Europe,Karlsruhe
